Ab_Chocke;Freq;Vazao_Chocke
100;59,9;4,027781487
100;59,9;4,023562908
100;59,9;4,02609396
100;59,9;3,99853158
100;59,9;4,014843941
100;59,9;4,02103138
100;59,9;4,015406609
100;59,9;4,014281273
100;59,9;4,017656326
100;59,9;4,021875381
90;59,9;4,018781662
90;59,9;4,012312889
90;59,9;4,020750046
90;59,9;4,022437572
90;59,9;4,030312538
90;59,9;4,02300024
90;59,9;4,026656628
90;59,9;4,024406433
90;59,9;4,011187553
90;59,9;4,009500027
90;59,9;4,020750046
90;59,9;4,027218819
90;59,9;4,016531467
90;59,9;4,005000114
90;59,9;4,015687943
90;59,9;4,0159688
90;59,9;4,013156414
90;59,9;4,024687767
90;59,9;4,02609396
90;59,9;4,01793766
90;60;4,015406609
90;60;4,01793766
90;59,9;4,028344154
90;59,9;4,03115654
90;59,9;4,021312714
90;59,9;4,021312714
90;59,9;4,02103138
90;59,9;4,014281273
90;60;4,021312714
90;60;4,017094135
90;59,9;4,013719082
90;59,9;4,003312588
90;59,9;4,014562607
90;59,9;4,017094135
90;59,9;4,017656326
90;60;4,022156715
90;59,9;4,014562607
90;59,9;4,018500328
90;59,9;4,014562607
90;59,9;4,006406307
90;59,9;4,022437572
90;59,9;4,020469189
90;59,9;4,02103138
90;59,9;4,027781487
90;59,9;4,022156715
90;59,9;4,018781662
90;59,9;4,019343853
